data,local,divulgacao,+ pets,quantos +,castrou antes,nao pq,sexo,idade,cor,ocupacao,escolaridade,qtde pessoas moradia,qtde c/ renda,faixa de renda familiar,banheiros moradia,quartos moradia,situacao da moradia,meses
2024-04-08,MAP BAND,"Por uma pessoa (parente, amigo, vizinho, etc.)",Não,0,Não,Não tinha condições financeiras,Feminino,18 - 23,Preto,"Está ocupado (a) trabalhando no momento, mas com horário ocioso (somente uma parte do dia preenchido))",Ensino Superior Incompleto,1,1,707-1412,1,1,É alugada (a que você mora),April
2024-04-09,MAP BAND,Carro de Som,Sim,Mais de 3,Sim,0,Feminino,50 - 54,Preto,Fora da força de trabalho (caso não seja possível trabalhar),Ensino Médio Completo,3,3,2825-4236,1,2,É própria (a que você mora),April
2024-04-09,MAP BAND,Whatsapp (grupo de faz parte),Sim,Mais de 3,Não,Não tinha condições financeiras,Feminino,35 - 39,Preto,Fora da força de trabalho (caso não seja possível trabalhar),Ensino Médio Completo,3,1,1413-2824,1,2,É própria (a que você mora),April
2024-04-09,MAP BAND,"Por uma pessoa (parente, amigo, vizinho, etc.)",Não,0,Não,Não tinha condições financeiras,Feminino,45 - 49,Preto,Está ocupado (a) trabalhando no momento sem horário ocioso (com todos os horários do dia preenchidos),Ensino Médio Completo,2,1,1413-2824,1,2,É alugada (a que você mora),April
2024-04-09,RIO GRANDE,"Por uma pessoa (parente, amigo, vizinho, etc.)",Sim,Mais de 3,Sim,0,Feminino,60 - 100,Branco,"Não ocupado (a), está procurando trabalho e não está disponível para trabalhar",Ensino Médio Completo,0,0 (caso ninguém tenha renda),1-706,1,2,É própria (a que você mora),April
2024-04-09,RIO GRANDE,"Por uma pessoa (parente, amigo, vizinho, etc.)",Sim,Mais de 3,Sim,0,Feminino,55 - 59,Branco,"Não ocupado (a), não está procurando trabalho e está disponível para trabalhar",Ensino Médio Completo,0,0 (caso ninguém tenha renda),707-1412,0 (caso não tenha banheiro),2,É própria (a que você mora),April
2024-04-09,MAP BAND,Carro de Som,Não,0,Não,Não tinha condições financeiras,Masculino,60 - 100,Pardo,Fora da força de trabalho (caso não seja possível trabalhar),Ensino Fundamental Incompleto,0,0 (caso ninguém tenha renda),707-1412,1,1,É própria (a que você mora),April
2024-04-09,MAP BAND,Carro de Som,Sim,3,Sim,0,Feminino,40 - 44,Preto,Está ocupado (a) trabalhando no momento sem horário ocioso (com todos os horários do dia preenchidos),Ensino Fundamental Incompleto,2,0 (caso ninguém tenha renda),1413-2824,1,2,É alugada (a que você mora),April
2024-04-09,RIO GRANDE,Faixa,Sim,Mais de 3,Sim,0,Feminino,24 - 29,Pardo,Está ocupado (a) trabalhando no momento sem horário ocioso (com todos os horários do dia preenchidos),Ensino Médio Completo,0,0 (caso ninguém tenha renda),707-1412,1,2,É alugada (a que você mora),April
2024-04-09,MAP BAND,"Por uma pessoa (parente, amigo, vizinho, etc.)",Não,0,Não,0,Masculino,35 - 39,Branco,"Está ocupado (a) trabalhando no momento, mas com horário ocioso (somente uma parte do dia preenchido))",Ensino Médio Completo,1,1,1413-2824,1,2,É alugada (a que você mora),April
2024-04-09,MAP BAND,Carro de Som,Sim,1,Sim,0,Feminino,30 - 34,Preto,Está ocupado (a) trabalhando no momento sem horário ocioso (com todos os horários do dia preenchidos),Ensino Médio Completo,1,0 (caso ninguém tenha renda),1413-2824,1,2,É alugada (a que você mora),April
2024-04-09,MAP BAND,Carro de Som,Não,0,Não,É o primeiro animal que tenho,Masculino,45 - 49,Preto,Está ocupado (a) trabalhando no momento sem horário ocioso (com todos os horários do dia preenchidos),Ensino Médio Incompleto,2,0 (caso ninguém tenha renda),1413-2824,1,1,É alugada (a que você mora),April
2024-04-09,MAP BAND,Carro de Som,Não,0,Não,0,Masculino,60 - 100,Branco,Fora da força de trabalho (caso não seja possível trabalhar),Ensino Fundamental Completo,1,0 (caso ninguém tenha renda),1413-2824,1,2,É própria (a que você mora),April
2024-04-09,MAP BAND,Whatsapp (grupo de faz parte),Não,0,Não,É o primeiro animal que tenho,Masculino,50 - 54,Branco,Está ocupado (a) trabalhando no momento sem horário ocioso (com todos os horários do dia preenchidos),Ensino Fundamental Completo,0,0 (caso ninguém tenha renda),1413-2824,1,2,É própria (a que você mora),April
2024-04-09,MAP BAND,Whatsapp (grupo de faz parte),Não,0,Não,É o primeiro animal que tenho,Masculino,45 - 49,Branco,Está ocupado (a) trabalhando no momento sem horário ocioso (com todos os horários do dia preenchidos),Ensino Superior Completo,1,0 (caso ninguém tenha renda),2825-4236,1,2,É alugada (a que você mora),April
2024-04-09,MAP BAND,Carro de Som,Não,0,Não,É o primeiro animal que tenho,Feminino,50 - 54,Branco,Está ocupado (a) trabalhando no momento sem horário ocioso (com todos os horários do dia preenchidos),Ensino Fundamental Completo,0,0 (caso ninguém tenha renda),1413-2824,1,2,É própria (a que você mora),April
2024-04-09,MAP BAND,Carro de Som,Sim,Mais de 3,Sim,0,Feminino,30 - 34,Pardo,"Está ocupado (a) trabalhando no momento, mas com horário ocioso (somente uma parte do dia preenchido))",Ensino Fundamental Completo,2,1,1413-2824,2,3,É própria (a que você mora),April
2024-04-09,MAP BAND,Whatsapp (grupo de faz parte),Não,0,Não,É o primeiro animal que tenho,Feminino,60 - 100,Branco,Fora da força de trabalho (caso não seja possível trabalhar),Ensino Fundamental Incompleto,1,1,1413-2824,1,1,É própria (a que você mora),April
2024-04-09,MAP BAND,Carro de Som,Sim,Mais de 3,Não,Não sabia dos benefícios da castração,Feminino,24 - 29,Branco,"Não ocupado (a), está procurando trabalho e não está disponível para trabalhar",Ensino Médio Completo,1,1,1413-2824,1,1,É alugada (a que você mora),April
2024-04-09,MAP BAND,Whatsapp (grupo de faz parte),Sim,3,Sim,0,Masculino,45 - 49,Pardo,Está ocupado (a) trabalhando no momento sem horário ocioso (com todos os horários do dia preenchidos),Ensino Médio Completo,2,3,2825-4236,2,2,É própria (a que você mora),April
2024-04-09,MAP BAND,Carro de Som,Sim,2,Sim,0,Feminino,40 - 44,Branco,Fora da força de trabalho (caso não seja possível trabalhar),Ensino Médio Completo,2,1,1413-2824,2,2,É própria (a que você mora),April
2024-04-10,MAP BAND,Carro de Som,Não,0,Não,É o primeiro animal que tenho,Feminino,45 - 49,Preto,"Não ocupado (a), está procurando trabalho e disponível para trabalhar",Ensino Superior Completo,2,1,707-1412,1,2,É própria (a que você mora),April
2024-04-10,MAP BAND,Whatsapp (grupo de faz parte),Não,0,Não,É o primeiro animal que tenho,Feminino,30 - 34,Pardo,Está ocupado (a) trabalhando no momento sem horário ocioso (com todos os horários do dia preenchidos),Ensino Superior Incompleto,2,2,1413-2824,1,2,É alugada (a que você mora),April
2024-04-10,MAP BAND,Whatsapp (grupo de faz parte),Sim,1,Não,Não tinha condições financeiras,Feminino,40 - 44,Pardo,Está ocupado (a) trabalhando no momento sem horário ocioso (com todos os horários do dia preenchidos),Ensino Fundamental Completo,4,2,1413-2824,1,2,É alugada (a que você mora),April
2024-04-10,MAP BAND,Carro de Som,Sim,2,Sim,0,Feminino,45 - 49,Pardo,"Não ocupado (a), está procurando trabalho e disponível para trabalhar",Ensino Fundamental Completo,4,1,707-1412,1,3,É própria (a que você mora),April
2024-04-10,MAP BAND,Whatsapp (grupo de faz parte),Sim,1,Não,Não tinha condições financeiras,Masculino,24 - 29,Branco,Está ocupado (a) trabalhando no momento sem horário ocioso (com todos os horários do dia preenchidos),Ensino Médio Completo,Mais de 5,2,1413-2824,2,3,É alugada (a que você mora),April
2024-04-10,MAP BAND,Whatsapp (grupo de faz parte),Não,0,Não,É o primeiro animal que tenho,Feminino,24 - 29,Pardo,"Não ocupado (a), está procurando trabalho e não está disponível para trabalhar",Ensino Fundamental Completo,2,1,1413-2824,1,2,É própria (a que você mora),April
2024-04-10,MAP BAND,Carro de Som,Não,0,Não,É o primeiro animal que tenho,Feminino,60 - 100,Branco,Está ocupado (a) trabalhando no momento sem horário ocioso (com todos os horários do dia preenchidos),Ensino Superior Completo,1,1,2825-4236,1,2,É alugada (a que você mora),April
2024-04-10,MAP BAND,Whatsapp (grupo de faz parte),Não,0,Não,É o primeiro animal que tenho,Feminino,18 - 23,Preto,"Não ocupado (a), está procurando trabalho e não está disponível para trabalhar",Ensino Médio Completo,1,1,707-1412,1,1,É própria (a que você mora),April
2024-04-10,MAP BAND,Whatsapp (grupo de faz parte),Não,0,Não,É o primeiro animal que tenho,Feminino,50 - 54,Preto,Fora da força de trabalho (caso não seja possível trabalhar),Ensino Médio Completo,3,0 (caso ninguém tenha renda),1413-2824,2,2,É própria (a que você mora),April
2024-04-10,MAP BAND,Whatsapp (grupo de faz parte),Não,0,Não,É o primeiro animal que tenho,Masculino,30 - 34,Branco,Está ocupado (a) trabalhando no momento sem horário ocioso (com todos os horários do dia preenchidos),Ensino Médio Completo,4,1,1413-2824,2,2,É própria (a que você mora),April
2024-04-10,MAP BAND,Carro de Som,Sim,2,Sim,0,Feminino,40 - 44,Pardo,Está ocupado (a) trabalhando no momento sem horário ocioso (com todos os horários do dia preenchidos),Ensino Médio Completo,4,2,1413-2824,1,2,É alugada (a que você mora),April
2024-04-10,MAP BAND,Whatsapp (grupo de faz parte),Sim,2,Sim,0,Masculino,18 - 23,Branco,"Não ocupado (a), está procurando trabalho e disponível para trabalhar",Ensino Médio Completo,2,2,1413-2824,1,2,É alugada (a que você mora),April
2024-04-10,MAP BAND,Whatsapp (grupo de faz parte),Não,0,Não,É o primeiro animal que tenho,Masculino,24 - 29,Branco,Está ocupado (a) trabalhando no momento sem horário ocioso (com todos os horários do dia preenchidos),Ensino Médio Completo,0,0 (caso ninguém tenha renda),707-1412,1,1,É própria (a que você mora),April
2024-04-10,MAP BAND,Carro de Som,Não,0,Não,É o primeiro animal que tenho,Masculino,40 - 44,Preto,Está ocupado (a) trabalhando no momento sem horário ocioso (com todos os horários do dia preenchidos),Ensino Superior Completo,2,2,00,1,2,É própria (a que você mora),April
2024-04-11,RIO GRANDE,Faixa,Sim,Mais de 3,Sim,0,Masculino,60 - 100,Branco,Fora da força de trabalho (caso não seja possível trabalhar),Ensino Superior Completo,2,0 (caso ninguém tenha renda),2825-4236,1,2,É própria (a que você mora),April
2024-04-11,RIO GRANDE,Faixa,Sim,1,Sim,0,Feminino,18 - 23,Pardo,"Não ocupado (a), está procurando trabalho e disponível para trabalhar",Ensino Médio Completo,2,1,1413-2824,2,2,É alugada (a que você mora),April
2024-04-11,RIO GRANDE,Faixa,Sim,1,Sim,0,Feminino,60 - 100,Branco,"Está ocupado (a) trabalhando no momento, mas com horário ocioso (somente uma parte do dia preenchido))",Ensino Médio Completo,1,1,2825-4236,1,2,É própria (a que você mora),April
2024-04-11,MAP BAND,"Por uma pessoa (parente, amigo, vizinho, etc.)",Não,0,Não,0,Feminino,18 - 23,Pardo,"Está ocupado (a) trabalhando no momento, mas com horário ocioso (somente uma parte do dia preenchido))",Ensino Médio Completo,3,2,1413-2824,1,2,É alugada (a que você mora),April
2024-04-11,RIO GRANDE,"Por uma pessoa (parente, amigo, vizinho, etc.)",Sim,2,Sim,0,Feminino,18 - 23,Pardo,Fora da força de trabalho (caso não seja possível trabalhar),Ensino Superior Completo,1,1,2825-4236,1,1,É alugada (a que você mora),April
2024-04-11,MAP BAND,"Por uma pessoa (parente, amigo, vizinho, etc.)",Sim,1,Não,Não tinha condições financeiras,Feminino,18 - 23,Ignorado,"Não ocupado (a), está procurando trabalho e disponível para trabalhar",Ensino Médio Incompleto,3,2,1413-2824,1,2,É própria (a que você mora),April
2024-04-11,MAP BAND,Carro de Som,Não,0,Não,É o primeiro animal que tenho,Masculino,45 - 49,Pardo,Está ocupado (a) trabalhando no momento sem horário ocioso (com todos os horários do dia preenchidos),Ensino Superior Completo,3,2,2825-4236,2,2,É própria (a que você mora),April
2024-04-11,RIO GRANDE,"Por uma pessoa (parente, amigo, vizinho, etc.)",Não,0,Não,0,Masculino,30 - 34,Preto,Está ocupado (a) trabalhando no momento sem horário ocioso (com todos os horários do dia preenchidos),Ensino Médio Completo,1,1,2825-4236,1,2,É própria (a que você mora),April
2024-04-11,RIO GRANDE,"Por uma pessoa (parente, amigo, vizinho, etc.)",Sim,Mais de 3,Sim,0,Feminino,55 - 59,Branco,Fora da força de trabalho (caso não seja possível trabalhar),Ensino Médio Completo,1,1,707-1412,1,2,É própria (a que você mora),April
2024-04-11,MAP BAND,Carro de Som,Não,0,Não,É o primeiro animal que tenho,Masculino,60 - 100,Branco,"Não ocupado (a), está procurando trabalho e não está disponível para trabalhar",Ensino Médio Completo,2,1,1413-2824,1,2,É própria (a que você mora),April
2024-04-11,MAP BAND,Whatsapp (grupo de faz parte),Sim,Mais de 3,Sim,0,Feminino,35 - 39,Preto,Está ocupado (a) trabalhando no momento sem horário ocioso (com todos os horários do dia preenchidos),Ensino Fundamental Completo,2,0 (caso ninguém tenha renda),707-1412,1,2,É própria (a que você mora),April
2024-04-11,RIO GRANDE,"Por uma pessoa (parente, amigo, vizinho, etc.)",Sim,Mais de 3,Sim,0,Feminino,30 - 34,Pardo,Fora da força de trabalho (caso não seja possível trabalhar),Ensino Superior Incompleto,3,2,4237-5648,1,2,É alugada (a que você mora),April
2024-04-11,MAP BAND,Whatsapp (grupo de faz parte),Sim,Mais de 3,Não,Não tinha condições financeiras,Feminino,18 - 23,Preto,"Não ocupado (a), está procurando trabalho e disponível para trabalhar",Ensino Médio Completo,4,1,1413-2824,1,2,É própria (a que você mora),April
2024-04-11,RIO GRANDE,"Por uma pessoa (parente, amigo, vizinho, etc.)",Sim,3,Não,Não sabia dos benefícios da castração,Feminino,35 - 39,Branco,Fora da força de trabalho (caso não seja possível trabalhar),Ensino Médio Completo,3,1,1413-2824,1,2,É própria (a que você mora),April
2024-04-11,MAP BAND,"Por uma pessoa (parente, amigo, vizinho, etc.)",Sim,2,Sim,0,Feminino,24 - 29,Pardo,Está ocupado (a) trabalhando no momento sem horário ocioso (com todos os horários do dia preenchidos),Doutorado Completo,2,2,2825-4236,1,1,É própria (a que você mora),April
2024-04-11,MAP BAND,Whatsapp (grupo de faz parte),Sim,1,Não,Não tinha condições financeiras,Feminino,24 - 29,Preto,Está ocupado (a) trabalhando no momento sem horário ocioso (com todos os horários do dia preenchidos),Ensino Médio Completo,2,1,2825-4236,2,2,É própria (a que você mora),April
2024-04-11,RIO GRANDE,"Por uma pessoa (parente, amigo, vizinho, etc.)",Sim,2,Sim,0,Masculino,50 - 54,Pardo,Está ocupado (a) trabalhando no momento sem horário ocioso (com todos os horários do dia preenchidos),Ensino Médio Completo,2,0 (caso ninguém tenha renda),2825-4236,1,2,É alugada (a que você mora),April
2024-04-11,MAP BAND,Whatsapp (grupo de faz parte),Sim,3,Sim,0,Feminino,60 - 100,Pardo,Fora da força de trabalho (caso não seja possível trabalhar),Ensino Fundamental Completo,3,1,1413-2824,1,1,É própria (a que você mora),April
2024-04-11,MAP BAND,Whatsapp (grupo de faz parte),Sim,1,Sim,0,Masculino,55 - 59,Pardo,Está ocupado (a) trabalhando no momento sem horário ocioso (com todos os horários do dia preenchidos),Ensino Médio Completo,1,1,2825-4236,1,2,É própria (a que você mora),April
2024-04-11,MAP BAND,Carro de Som,Não,0,Não,Não tinha condições financeiras,Feminino,18 - 23,Branco,Está ocupado (a) trabalhando no momento sem horário ocioso (com todos os horários do dia preenchidos),Ensino Superior Cursando,3,1,1413-2824,1,2,É própria (a que você mora),April
2024-04-11,MAP BAND,Carro de Som,Sim,1,Não,Não tinha condições financeiras,Masculino,35 - 39,Pardo,Está ocupado (a) trabalhando no momento sem horário ocioso (com todos os horários do dia preenchidos),Ensino Superior Completo,1,1,5649 | +,2,2,É própria (a que você mora),April
2024-04-11,MAP BAND,Carro de Som,Sim,1,Sim,0,Feminino,55 - 59,Preto,Está ocupado (a) trabalhando no momento sem horário ocioso (com todos os horários do dia preenchidos),Ensino Médio Completo,3,1,1413-2824,2,2,É cedida pelo trabalho (a que você mora),April
2024-04-11,MAP BAND,Carro de Som,Sim,1,Não,Não tinha condições financeiras,Feminino,35 - 39,Preto,Está ocupado (a) trabalhando no momento sem horário ocioso (com todos os horários do dia preenchidos),Ensino Superior Completo,3,2,4237-5648,1,2,É própria (a que você mora),April
2024-04-12,MAP BAND,Whatsapp (grupo de faz parte),Não,0,Não,É o primeiro animal que tenho,Feminino,24 - 29,Preto,"Não ocupado (a), está procurando trabalho e não está disponível para trabalhar",Ensino Médio Completo,1,1,1413-2824,2,Mais de 3 quartos,É própria (a que você mora),April
2024-04-12,MAP BAND,Carro de Som,Sim,2,Sim,0,Masculino,50 - 54,Preto,Está ocupado (a) trabalhando no momento sem horário ocioso (com todos os horários do dia preenchidos),Ensino Médio Incompleto,4,2,1413-2824,2,Mais de 3 quartos,É própria (a que você mora),April
2024-04-12,MAP BAND,Carro de Som,Sim,2,Sim,0,Feminino,45 - 49,Branco,Está ocupado (a) trabalhando no momento sem horário ocioso (com todos os horários do dia preenchidos),Ensino Fundamental Completo,4,2,1413-2824,2,3,É própria (a que você mora),April
2024-04-12,MAP BAND,Whatsapp (grupo de faz parte),Não,0,Não,Não tinha condições financeiras,Feminino,55 - 59,Branco,"Não ocupado (a), está procurando trabalho e disponível para trabalhar",Ensino Médio Completo,2,1,1413-2824,2,2,É própria (a que você mora),April
2024-04-12,MAP BAND,Carro de Som,Sim,1,Não,Não tinha condições financeiras,Feminino,35 - 39,Amarelo,"Não ocupado (a), está procurando trabalho e disponível para trabalhar",Ensino Superior Incompleto,4,1,1413-2824,1,1,É alugada (a que você mora),April
2024-04-12,MAP BAND,Carro de Som,Sim,1,Não,Não tinha condições financeiras,Feminino,55 - 59,Branco,"Não ocupado (a), está procurando trabalho e disponível para trabalhar",Ensino Médio Completo,0,0 (caso ninguém tenha renda),00,1,2,É própria (a que você mora),April
2024-04-12,MAP BAND,"Por uma pessoa (parente, amigo, vizinho, etc.)",Sim,2,Sim,0,Feminino,40 - 44,Branco,"Está ocupado (a) trabalhando no momento, mas com horário ocioso (somente uma parte do dia preenchido))",Ensino Superior Completo,2,2,1413-2824,2,2,É alugada (a que você mora),April
2024-04-12,MAP BAND,"Por uma pessoa (parente, amigo, vizinho, etc.)",Sim,1,Sim,0,Masculino,24 - 29,Branco,"Não ocupado (a), está procurando trabalho e disponível para trabalhar",Ensino Superior Cursando,1,1,1413-2824,1,2,É própria (a que você mora),April
2024-04-12,MAP BAND,Carro de Som,Sim,2,Sim,0,Feminino,18 - 23,Branco,"Não ocupado (a), está procurando trabalho e disponível para trabalhar",Ensino Superior Cursando,2,0 (caso ninguém tenha renda),00,2,2,É própria (a que você mora),April
2024-04-12,MAP BAND,Carro de Som,Sim,Mais de 3,Sim,0,Feminino,60 - 100,Pardo,Fora da força de trabalho (caso não seja possível trabalhar),Ensino Fundamental Completo,3,2,1413-2824,1,3,É própria (a que você mora),April
2024-04-12,MAP BAND,Carro de Som,Sim,Mais de 3,Sim,0,Masculino,60 - 100,Pardo,Fora da força de trabalho (caso não seja possível trabalhar),Ensino Fundamental Incompleto,3,2,1413-2824,1,3,É própria (a que você mora),April
2024-04-12,MAP BAND,Whatsapp (grupo de faz parte),Sim,Mais de 3,Sim,0,Feminino,50 - 54,Pardo,Está ocupado (a) trabalhando no momento sem horário ocioso (com todos os horários do dia preenchidos),Ensino Fundamental Completo,3,2,1413-2824,1,2,É própria (a que você mora),April
2024-04-12,MAP BAND,Whatsapp (grupo de faz parte),Sim,1,Sim,0,Masculino,50 - 54,Pardo,Está ocupado (a) trabalhando no momento sem horário ocioso (com todos os horários do dia preenchidos),Ensino Médio Completo,1,2,2825-4236,2,2,É alugada (a que você mora),April
2024-04-12,MAP BAND,Whatsapp (grupo de faz parte),Sim,1,Sim,0,Masculino,18 - 23,Preto,"Não ocupado (a), está procurando trabalho e disponível para trabalhar",Ensino Superior Cursando,3,2,707-1412,1,2,É alugada (a que você mora),April
2024-04-15,MAP BAND,"Por uma pessoa (parente, amigo, vizinho, etc.)",Não,0,Não,É o primeiro animal que tenho,Feminino,30 - 34,Pardo,Está ocupado (a) trabalhando no momento sem horário ocioso (com todos os horários do dia preenchidos),Ensino Superior Completo,1,1,1413-2824,1,1,É alugada (a que você mora),April
2024-04-15,MAP BAND,Whatsapp (grupo de faz parte),Sim,1,Sim,0,Feminino,60 - 100,Branco,Está ocupado (a) trabalhando no momento sem horário ocioso (com todos os horários do dia preenchidos),Ensino Médio Incompleto,0,0 (caso ninguém tenha renda),2825-4236,1,2,É alugada (a que você mora),April
2024-04-15,MAP BAND,"Por uma pessoa (parente, amigo, vizinho, etc.)",Sim,1,Sim,0,Masculino,40 - 44,Branco,Está ocupado (a) trabalhando no momento sem horário ocioso (com todos os horários do dia preenchidos),Ensino Superior Completo,2,1,1413-2824,1,1,É própria (a que você mora),April
2024-04-15,MAP BAND,"Por uma pessoa (parente, amigo, vizinho, etc.)",Sim,Mais de 3,Sim,0,Masculino,40 - 44,Pardo,Está ocupado (a) trabalhando no momento sem horário ocioso (com todos os horários do dia preenchidos),Ensino Superior Incompleto,2,1,5649 | +,1,2,É alugada (a que você mora),April
